country,Latitude,Longitude
Worldwide,40.0421401,-76.3888087
Ethiopia,9.145,40.489673
Morocco,31.791702,-7.09262
Netherlands,52.132633,5.291266
Sierra Leone,8.460555,-11.779889
Bangladesh,23.684994,90.356331
UAE,23.424076,53.847818
Syria,34.802075,38.996815
Italy,41.87194,12.56738
Somaliland,9.4117434,46.8252838
Iraq/UK,51.4994723,-0.180252
UK,55.378051,-3.435973
Egypt,26.820553,30.802498
Germany,51.165691,10.451526
UK,55.378051,-3.435973
India,20.593684,78.96288
Thailand,15.870032,100.992541
Australia,-25.274398,133.775136
Argentina,-38.416097,-63.616672
El Salvador,13.794185,-88.89653
Argentina,-38.416097,-63.616672
Hong Kong,22.3193039,114.1693611
US,37.09024,-95.712891
Zimbabwe,-19.015438,29.154857
UK,55.378051,-3.435973
UK,55.378051,-3.435973
Norway,60.472024,8.468946
Somalia,5.152149,46.199616
South Korea,35.907757,127.766922
China,35.86166,104.195397
Afghanistan,33.93911,67.709953
Republic of Ireland,53.41291,-8.24389
US,37.09024,-95.712891
US,37.09024,-95.712891
US,37.09024,-95.712891
US,37.09024,-95.712891
Yemen,15.552727,48.516388
UK,55.378051,-3.435973
Egypt,26.820553,30.802498
Tanzania,-6.369028,34.888822
Jamaica,18.109581,-77.297508
"Exiled Uighur from Ghulja (in Chinese, Yining)",43.9457611,81.6911559
Nigeria,9.081999,8.675277
Japan,36.204824,138.252924
India,20.593684,78.96288
India,20.593684,78.96288
France,46.227638,2.213749
Zambia,-13.133897,27.849332
Kenya,-0.023559,37.906193
Turkey,38.963745,35.243322
UK,55.378051,-3.435973
Indonesia,-0.789275,113.921327
Pakistan,30.375321,69.345116
Benin,9.30769,2.315834
Vietnam,14.058324,108.277199
Syria,34.802075,38.996815
South Africa,-30.559482,22.937506
Colombia,4.570868,-74.297333
Mozambique,-18.665695,35.529562
Finland,61.92411,25.7481511
Lebanon,33.854721,35.862285
South Africa,-30.559482,22.937506
Northern Ireland,54.7877149,-6.4923145
DR Congo,-4.038333,21.758664
Uganda,1.373333,32.290275
Uganda,1.373333,32.290275
Myanmar,21.916221,95.955974
US,37.09024,-95.712891
Ecuador,-1.831239,-78.183406
Pakistan,30.375321,69.345116
Kenya,-0.023559,37.906193
Afghanistan,33.93911,67.709953
India,20.593684,78.96288
Australia,-25.274398,133.775136
Russia,61.52401,105.318756
Brazil,-14.235004,-51.92528
Venezuela,6.42375,-66.58973
Nepal,28.394857,84.124008
Iran,32.427908,53.688046
Indonesia,-0.789275,113.921327
Peru,-9.189967,-75.015152
Thailand,15.870032,100.992541
Iran,32.427908,53.688046
US,37.09024,-95.712891
Bangladesh,23.684994,90.356331
Brazil,-14.235004,-51.92528
France,46.227638,2.213749
US,37.09024,-95.712891
Belarus,53.709807,27.953389
Russia,61.52401,105.318756
Mexico,23.634501,-102.552784
Ukraine,48.379433,31.1655799
Thailand,15.870032,100.992541
UK,55.378051,-3.435973
"Wales, UK",52.1306607,-3.7837117
US,37.09024,-95.712891
Singapore,1.352083,103.819836
Malaysia,4.210484,101.975766
Nigeria,9.081999,8.675277
Kyrgyzstan,41.20438,74.766098
