name,img,category,country,role,description
Unsung hero,https://ichef.bbci.co.uk/news/300/cpsprodpb/F288/production/_115588026_100_women_2020_unsung.png,All,Worldwide,Making a difference,In an extraordinary year
Loza Abera Geinore,https://ichef.bbci.co.uk/news/300/cpsprodpb/15ABB/production/_115336788_loza_abera.jpg,Leadership,Ethiopia,Footballer,Loza Abera Geinore was born and raised in a small town in southern Ethiopia. She played for Hawassa City SC in the Ethiopian Women's Premier League for two seasons
Houda Abouz,https://ichef.bbci.co.uk/news/300/cpsprodpb/147BF/production/_115330938_houda_abouz.jpg,Creativity,Morocco,Rapper,Houda Abouz
Christina Adane,https://ichef.bbci.co.uk/news/300/cpsprodpb/4A81/production/_115337091_christina_adane_copy.jpg,Leadership,Netherlands,Campaigner,Christina was behind the UK petition for free school meals over the summer holidays
Yvonne Aki-Sawyerr,https://ichef.bbci.co.uk/news/300/cpsprodpb/13F95/production/_115331818_yvonne_aki-sawyerr.jpg,Leadership,Sierra Leone,Mayor,Mayor Yvonne Aki-Sawyerr OBE is best known for her Transform Freetown plan
Rina Akter,https://ichef.bbci.co.uk/news/300/cpsprodpb/9DDD/production/_115331404_rina_akter.jpg,Knowledge,Bangladesh,Former sex worker,During the pandemic
Sarah Al-Amiri,https://ichef.bbci.co.uk/news/300/cpsprodpb/E2D9/production/_115337085_he_sarah_alamiri.jpg,Knowledge,UAE,Minister for Advanced Technologies,Her Excellency Sarah Al-Amiri is UAE Minister of State for Advanced Technologies and chairs the UAE Space Agency. She was previously science lead and deputy project manager for the Emirates Mars Mission. 
Waad  al-Kateab,https://ichef.bbci.co.uk/news/300/cpsprodpb/11885/production/_115331817_waad_al-kateab.jpg,Creativity,Syria,Film-maker,Waad al-Kateab is a Syrian activist
Adriana Albini,https://ichef.bbci.co.uk/news/300/cpsprodpb/1612D/production/_115331409_adriana_albini.jpg,Knowledge,Italy,Pathologist,Adriana Albini is head of the vascular biology and angiogenesis laboratory of IRCCS MultiMedica
Ubah Ali,https://ichef.bbci.co.uk/news/300/cpsprodpb/166A5/production/_115331819_ubah_ali.jpg,Leadership,Somaliland,FGM educator,Ubah Ali is a co-founder of Solace for Somaliland Girls
Nisreen Alwan,https://ichef.bbci.co.uk/news/300/cpsprodpb/9CA7/production/_115330104_nisreen_alwan.jpg,Knowledge,Iraq/UK,Public health expert,Nisreen is a public health doctor and academic in the UK who researches the health and wellbeing of women and children
Elizabeth Anionwu,https://ichef.bbci.co.uk/news/300/cpsprodpb/3A0F/production/_115336841_elizabeth_anionwu.jpg,Knowledge,UK,Nurse,Professor Dame Elizabeth Anionwu is an emeritus professor of nursing at the University of West London and a patron of the UK Sickle Cell Society. 
