Discipline,Progression,Perf,Wind,Competitor,DOB,Country,Venue,Date,Age
50 Metres,,5.96,,Irina PRIVALOVA,11/22/1968,RUS,Madrid (ESP),2/9/1995,52
60 Metres,,6.92,,Irina PRIVALOVA,11/22/1968,RUS,Madrid (ESP),2/11/1993,52
60 Metres,,6.92,,Irina PRIVALOVA,11/22/1968,RUS,Madrid (ESP),2/9/1995,52
200 Metres,,21.87,,Merlene OTTEY,5/10/1960,JAM,Liévin (FRA),2/13/1993,60
400 Metres,,49.59,,Jarmila KRATOCHVÍLOVÁ,1/26/1951,TCH,Milano (ITA),3/7/1982,69
800 Metres,,01:55.8,,Jolanda ?EPLAK,9/12/1976,SLO,"Dusika-Halle, Wien (AUT)",3/3/2002,44
1000 Metres,,02:30.9,,Maria de Lurdes MUTOLA,10/27/1972,MOZ,Stockholm (SWE),2/25/1999,48
1500 Metres,,03:55.2,,Genzebe DIBABA,2/8/1991,ETH,"Europahalle, Karlsruhe (GER)",2/1/2014,29
One Mile,,04:13.3,,Genzebe DIBABA,2/8/1991,ETH,"Globe Arena, Stockholm (SWE)",2/17/2016,29
3000 Metres,,08:16.6,,Genzebe DIBABA,2/8/1991,ETH,"Globe Arena, Stockholm (SWE)",2/6/2014,29
5000 Metres,,14:18.9,,Genzebe DIBABA,2/8/1991,ETH,"Globe Arena, Stockholm (SWE)",2/19/2015,29
50 Metres Hurdles,,6.58,,Cornelia OSCHKENAT,10/29/1961,GDR,Berlin (GER),2/20/1988,59
60 Metres Hurdles,,7.68,,Susanna KALLUR,2/16/1981,SWE,Karlsruhe (GER),2/10/2008,39
High Jump,,2.08,,Kajsa BERGQVIST,10/12/1976,SWE,Arnstadt (GER),2/4/2006,44
Pole Vault,,5.02,,Jennifer SUHR,2/5/1982,USA,"Albuquerque, NM (USA)",3/2/2013,38
Long Jump,,7.37,,Heike DRECHSLER,12/16/1964,GDR,Wien (AUT),2/13/1988,56
Triple Jump,,15.43,,Yulimar ROJAS,10/21/1995,VEN,"Gallur, Madrid (ESP)",2/21/2020,25
Shot Put,,22.5,,Helena FIBINGEROVÁ,7/13/1949,TCH,Jablonec (TCH),2/19/1977,71
